,Name,State_District,Year,Founder,Reason_for_establishment,Website
0,Taj Mahal,Uttar Pradesh,1632,Shah Jahan,In memory of Mumtaz Mahal,https://www.tajmahal.gov.in/
1,Red Fort,Delhi,1648,Shah Jahan,Residence for the Mughal emperors,https://www.redfortdelhi.in/
2,Qutub Minar,Delhi,1192,Qutb al-Din Aibak,Commemoration of Muslim victory,https://www.qutubminar.in/
3,Hampi,Karnataka,1336,Harihara and Bukka Raya,Capital of the Vijayanagara Empire,https://hampi.in/
4,Jaipur City,Rajasthan,1727,Maharaja Sawai Jai Singh II,Planned city as the new capital,https://jaipur.rajasthan.gov.in/content/raj/jaipur/en.html
5,Ajanta Caves,Maharashtra,2nd century BCE,Various Buddhist monks,Religious and monastic purposes,http://www.ajantacaves.com/
6,Khajuraho Temples,Madhya Pradesh,1838,Chandela dynasty,Religious and erotic art,http://www.khajuraho.org.in/
7,Sanchi Stupa,Madhya Pradesh,3rd century BCE - 12th century CE,Ashoka the Great,Spread of Buddhism,http://www.sanchi.org/
8,Chola Temples,Tamil Nadu,Various,Various Chola emperors,Religious and cultural significance,https://whc.unesco.org/en/list/250/
9,Ellora Caves,Maharashtra,6th - 9th century,Various dynasties,Religious and artistic pursuits,https://www.elloracaves.org/
